"tooltip_id","tooltip_html","tooltip_name","tooltip_section_id","tooltip_label"
"428","","rental_highspeedinternet","391","High Speed Internet"
"429","","rental_cabletv","391","Cable TV"
"430","","rental_oceanview","391","Ocean View"
"431","","rental_riverview","391","River View"
"432","","rental_petfriendly","391","Pet Friendly"
"433","","rental_amenities_text","391","Amenity Description"
"434","","rental_special","391","Special Message"
"435","","rental_special_flash","391","Flashing special"
"436","","rental_beds","391","Bedrooms"
"437","","rental_bath","391","Bathrooms"
"438","","rental_available_start_date","391","Not Availabile Until"
"439","","nightlyRates","391","Nightly Rates"
"440","","rental_rate","391","Regular Rate"
"441","","rental_rate_holiday","391","Holiday Rate"
"442","","rental_display_regular","391","Highest Regular Rate"
"443","","rental_display_holiday","391","Highest Holiday Rate"
"444","","rental_rate_cleaning","391","Cleaning Fee"
"445","","rental_rate_addl_guests","391","Addl Guest Rate"
"446","","rental_rate_cleaning_addl_guests","391","Addl Guest<br />Cleaning Rate"
"447","","weeklyRates","391","Weekly Rates"
"448","","rental_weekly_rate","391","Regular Rate"
"449","","rental_weekly_rate_holiday","391","Holiday Rate"
"450","","rental_weekly_display_regular","391","Highest Regular Rate"
"451","","rental_weekly_display_holiday","391","Highest Holiday Rate"
"452","","rental_weekly_rate_cleaning","391","Cleaning Fee"
"453","","rental_weekly_rate_addl_guests","391","Addl Guest Rate"
"454","","rental_weekly_rate_cleaning_addl_guests","391","Addl Guest<br />Cleaning Rate"
"455","","monthlyRates","391","Monthly Rates"
"456","","rental_monthly_rate","391","Regular Rate"
"457","","rental_monthly_rate_holiday","391","Holiday Rate"
"458","","rental_monthly_display_regular","391","Highest Regular Rate"
"459","","rental_monthly_display_holiday","391","Highest Holiday Rate"
"460","","rental_monthly_rate_cleaning","391","Cleaning Fee"
"461","","rental_monthly_rate_addl_guests","391","Addl Guest Rate"
"462","","rental_monthly_rate_cleaning_addl_guests","391","Addl Guest<br />Cleaning Rate"
"463","","rental_max_guest","391","Max Guest"
"464","","rental_addl_guest_count","391","Addl Guest Count"
"465","","rental_enable_calendar","391","Enable Calendar?"
"466","","rental_active","391","Active?"
"467","","rental_rate_text","391","Rate Description"
"468","","rental_min_stay","391","Minimum stay?"
"469","","rental_reserved_before","391","Reserved Days Before"
"470","","rental_reserved_after","391","Reserved Days After"
"471","","rental_petfriendly_fee","391","Pet Fee"
"472","","rental_petfriendly_type","391","Pet Rate Type"
"473","","rental_petfriendly_cleaningfee","391","Pet Cleaning Fee"
"474","","rental_tax","391","Taxes"
"475","","rental_petfriendly_cleaningtype","391","Pet Cleaning<br />Rate Type"
"476","","rental_max_pets","391","Max Pets"
"477","","rental_home_featured","391","Featured Listing"
"478","","rental_url","391","Override URL"
"479","","newname","392","New Name"
"480","","newsiteid","392","New Site"
"481","","renameexisting","392","Rename existing slideshow"
"482","","select_client_id","380","Client Account<br />Access"
"483","","member_password_confirm","380","Confirm Password"
"484","","rental_lodgix_property_id","391","Lodgix Property ID"
"485","","content_metacode","3","Meta Code"
"486","","site_option_group_parent_id","393","Parent Group"
"487","","site_option_group_name","393","Name"
"488","","site_option_group_type","393","Type"
"489","","siteoptiongroupglobal","393","Global"
"490","","site_option_group_embed","393","Enable Embedding?"
"491","","site_option_group_code","393","Embed HTML Code:"
"492","","syncMemberWith","380","Sync Member With<br />Your Other Web Sites"
"493","","menu_button_link_url","338","URL"
"494","","content_lot_number","3","Lot Number"
"495","","blog_comment_author","372","Your Name"
"496","","blog_comment_author_email","372","Your Email"
"497","","blog_comment_title","372","Subject"
"498","","blog_comment_text","372","Comments"
"499","","blog_title","351","Title"
"500","","blog_summary","351","Summary Text"
"501","","blog_story","351","Body Text"
"502","","blog_status","351","Date"
"503","","blog_slideshow_id","351","Slideshow"
"504","","blog_metakey","351","Meta Keywords"
"505","","blog_metadesc","351","Meta Description"
"506","","blog_unique_name","351","Unique URL"
"507","","blog_category_parent_id","362","Parent Category"
"508","","blog_category_name","362","Name"
"509","","blog_category_metakey","362","Meta Keywords"
"510","","blog_category_metadesc","362","Meta Description"
"511","","blog_category_unique_name","362","Unique URL"
"512","","blog_tag_name","367","Tag Name"
"513","","blog_tag_description","367","Description"
"514","","blog_tag_metakey","367","Meta Keywords"
"515","","blog_tag_metadesc","367","Meta Description"
"516","","blog_tag_unique_name","367","Unique URL"
"517","","blog_comment_author","376","Your Name"
"518","","blog_comment_author_email","376","Your Email"
"519","","blog_comment_title","376","Title"
"520","","blog_comment_text","376","Comments"
"521","","site_option_group_appidlist","393","Associate With Apps"
"524","","user_fax","380","Fax"
"525","","blog_event","351","Event"
"526","","site_option_appidlist","394","Associate With Apps"
"527","","content_site_option_app_id","3","Custom Fields"
"528","","blog_site_option_app_id","351","Custom Fields"
"529","","blog_category_site_option_app_id","362","Custom Fields"
"530","","blog_tag_site_option_app_id","367","Custom Fields"
"531","","content_system_url","3","URL Rewriting"
"532","","user_googleplus_url","380","Google+ URL"
"533","","user_twitter_url","380","Twitter URL"
"534","","user_facebook_url","380","Facebook URL"
"535","","rental_category_email","382","Lead Email"
"536","","site_option_group_menu_name","393","Menu Name"
"537","","blog_hide_time","351","Display time?"
"538","","member_public_display","380","Display"
"539","","user_openid_provider","380","Sign In With"
"540","","content_engine_name","3","Engine Name"
"541","","user_group_id","380","Access Rights"
"542","","slideshow_tab_url","298","Select File"
"543","","manual_listing_title","395","Title"
"545","","manual_listing_remarks","395","Remarks"
"546","","manual_listing_image_library_id","395","Photos"
"547","","manual_listing_for_sale","395","Status"
"548","","manual_listing_mls_provider","395","MLS Providers"
"549","","manual_listing_mls_id","395","MLS Providers"
"550","","manual_listing_mls_number","395","MLS #"
"551","","manual_listing_firm_name","395","Firm Name"
"552","","manual_listing_office","395","Firm Name"
"553","","manual_listing_mls_price","395","Use MLS Price?"
"554","","manual_listing_mls_override","395","Override MLS?"
"555","","manual_listing_price","395","Price"
"556","","manual_listing_beds","395","Beds"
"557","","manual_listing_baths","395","Baths"
"558","","manual_listing_halfbaths","395","Half Baths"
"559","","manual_listing_sqfoot","395","Square Feet"
"560","","manual_listing_square_feet","395","Square Feet"
"561","","manual_listing_address","395","Address"
"562","","manual_listing_city","395","City"
"563","","manual_listing_state","395","State"
"564","","manual_listing_country","395","Country"
"565","","manual_listing_zip","395","Zip"
"566","","manual_listing_virtual_tour","395","Virtual Tour"
"567","","manual_listing_diagonal_message","395","Diagonal Image<br />Message"
"568","","manual_listing_metatitle","395","META Title"
"569","","manual_listing_menu_title","395","Menu Title"
"570","","manual_listing_metakey","395","Meta Keywords"
"571","","manual_listing_metadesc","395","Meta Description"
"572","","manual_listing_metacode","395","Meta Code"
"573","","manual_listing_agent","395","Your Agent Listing?"
"574","","site_option_group_limit","393","Child Limit"
"575","","slideshow_forward_image","263","Forward Image"
"576","","slideshow_enable_ajax","263","Enable Ajax"
"577","","blog_category_description","351","Description"
"578","","site_option_group_view_cfc_path","393","View CFC Path"
"579","","site_option_group_view_cfc_method","393","View CFC Method"
"580","","site_option_group_search_index_cfc_path","393","Search Index CFC Path"
"581","","site_option_group_search_index_cfc_method","393","Search Index CFC Method"
"582","","site_option_group_enable_cache","393","Enable Memory Caching"
"583","","site_option_group_enable_partial_page_caching","393","Enable URL Caching"
"584","","site_option_group_enable_image_library","393","Enable Image Library?"
"585","","site_option_group_parent_field","393","Parent Field"
"586","","site_option_group_allow_public","393","Enable Public Form?"
"587","","site_option_group_form_description","393","Form Description:"
"588","","site_option_group_public_form_url","393","Public Form URL"
"589","","site_option_group_public_thankyou_url","393","Public Thank You URL"
"590","","site_option_group_disable_admin","393","Disable Admin?"
"591","","site_option_group_map_fields_type","393","Map Fields Type"
"592","","site_option_group_map_group_id","393","Map Group"
"593","","site_option_group_lead_routing_enabled","393","Enable Lead Routing?"
"594","","site_option_group_email_cfc_path","393","Email CFC Path"
"595","","site_option_group_email_cfc_method","393","Email CFC Method"
"596","","site_option_group_map_insert_type","393","Map Insert Type"
"597","","site_option_group_delete_on_map","393","Delete On Map?"
"598","","site_option_group_public_form_title","393","Public Form Title"
"599","","site_option_group_enable_approval","393","Require Approval\
of Public Data?"
"600","","inquiries_type_id","393","Map To Lead Type"
"601","","menu_character_length","1","Max Character Length"
"602","","blog_image_library_id","351","Photos"
"603","","blog_image_library_layout","3","Photo Layout"
"604","","blog_sticky","351","Sticky?"
"605","","user_enable_widget_builder","380","Enable Widget Builder?"
"606","","menu_enable_responsive","1","Enable Responsive?"
"607","","menu_button_margin","1","Button Margin"
"608","","user_alternate_email","380","Alternate Email"
"609","","user_alternate_contact_name","380","Alternate Contact Name"
"610","","site_option_group_user_group_id_list","393","Enable Data Entry For User Groups"
"611","","slideshow_resize_image_bottom","263","Resize Image Bottom?"
"612","","user_pref_list","380","Email Mailing List"
"613","","site_option_group_search_result_cfc_path","393","Search Result CFC Path"
"614","","site_option_group_search_result_cfc_method","393","Search Result CFC Method"
"615","","rental_internal_address","391","Internal Address"
"616","","site_option_group_help_description","393","Help Description:"
"617","","site_option_group_display_name","393","Display Name"
"618","","menu_disable_popup","1","Disable pop-ups?"
"619","","menu_selected_font_color","1","Selected Font Color"
"620","","menu_selected_background_over_color","1","Selected Background"
"621","","menu_selected_background_color","1","Color"
"622","","menu_selected_background_image","1","Image"
"623","","site_option_small_width","393","Force Small Label Width"
